,"I140 PP, 140/485 cc",Center,Type,"I-485
Received
 Date",Notice Date_FP,Walk-In?,Walk-in Office Location,"AP / EAD 
Approved 
Date",Days between RD and FP,Days between RD and AP/EAD ,"Finger
Print
Schedule
Day",FP Date,"485 
Approved
 Date","Green Card Received Date
","Days
between
 AP/EAD Day and
 485 AD Day","Days
between
 FP Day and
 485 AD Day","Days
 between
 RD and 
485 AD Day",I485 Pending day,Percentage of Cases Faster than Yours?,"--> Please sort by Receive date!
To New user, 
Please play with other sheet,
your changes are permanent!"
reykeryao,pp not CC,TSC,EB1B,3/7/2012,3/29/2012,,,4/6/2012,23,,,3/30/2012,5/11/2012,,,42,65,,34.40%,
bngus,pp not CC,TSC,EB1A,3/6/2012,4/17/2012,,,3/31/2013,70,385,,5/15/2012,5/26/2013,,,,446,,100.00%,
zyasshole,non-pp,TSC,EB1A,2/22/2012,3/5/2012,,,,29,,,3/22/2012,6/12/2012,,,,110,,71.10%,
qqlxl,pp not CC,TSC,EB1B,2/9/2012,3/12/2012,,,3/23/2012,60,,,4/9/2012,8/4/2012,,,115,178,,91.40%,
lovekiwi,non-pp,TSC,EB1B,2/6/2012,,,,,,,,,7/18/2012,,,25,162,,87.40%,
xiafan3000,nonCC,TSC,,2/1/2012,,,,3/28/2012,51,,,3/23/2012,4/17/2012,,,25,76,,47.50%,
zhanglm79,"pp, CC",TSC,EB1B,1/31/2012,,,,2/18/2012,28,,,2/28/2012,3/22/2012,,,23,52,,21.20%,
dayuoo,pp not CC,TSC,EB1A,1/29/2012,,,,,36,,,3/5/2012,3/24/2012,,,19,55,,25.50%,
(anonymous),"pp, not CC",TSC,EB1B,1/25/2012,2/8/2012,,,3/3/2012,23,,,2/17/2012,4/26/2012,,,70,91,,60.30%,
btsor,"pp, not CC",TSC,EB1?,1/24/2012,,,,,59,,,3/23/2012,4/11/2012,,,19,77,,48.30%,
jieluapplica,non-pp,TSC,EB1A,1/23/2012,3/28/2012,,,3/10/2012,79,47,,4/11/2012,6/19/2012,,,69,146,,82.70%,
yukawac,,TSC,EB1?,1/19/2012,,,,2/24/2012,40,,,2/28/2012,4/6/2012,,,38,77,,48.30%,
cidxie,not CC,TSC,EB1B,1/18/2012,,,,2/28/2012,55,,,3/13/2012,4/16/2012,,,34,88,,57.20%,
mitmagic,"N PP, N CC
",TSC,EB1A,1/18/2012,1/31/2012,,,2/27/2012,19,39,,2/6/2012,3/29/2012,,,52,71,,42.20%,
Yubaby,"N PP, N CC
",TSC,EB1B,1/17/2012,,,,3/5/2012,52,,,3/9/2012,4/6/2012,,,28,79,,50.90%,
cloe,"N PP, N CC
",TSC,EB1B,1/10/2012,1/19/2012,,,2/13/2012,30,,,2/9/2012,4/6/2012,,,57,86,,56.80%,
Aphor,"N PP, N CC
",TSC,EB1A,1/10/2012,1/20/2012,,,2/25/2012,31,45,,2/10/2012,3/23/2012,,,42,73,,43.80%,
fesem,"PP, N CC",TSC,EB1B,1/9/2012,,,,3/1/2012,38,,,2/16/2012,3/23/2012,,,36,74,,44.80%,
(anonymous),"PP, N CC",TSC,EB1B,1/9/2012,,,,,,,,,3/31/2012,,,36,82,,53.20%,
blackleaf,,,EB1A,1/9/2012,,,,2/15/2012,,36,,,3/27/2012,,,36,78,,49.70%,
xiaoshanj,"PP, N CC",TSC,EB1B,1/3/2012,,,,2/9/2012,31,,,2/3/2012,4/14/2012,,,71,101,,66.40%,
beyondla,N CC,TSC,EB1,1/3/2012,,,,,22,,,1/25/2012,3/23/2012,,,58,80,,51.30%,
oldstomach,"PP, non CC",TSC,EB1A,,12/22/2014,No,,2/17/2015,1/6/2015,60,1/6/2015,1/6/2015,4/21/2015,,63,105,-97,,0.00%,
,,,,,,,,,,,,,,,,,,,,
ronnie,,,,,,,,,,,,,,,,,,,,
