"","X485RD_Date","FP_Date","AP_EAD_Date","X485AD_Date","Center","Type","State","Days_RDtoFP","Days_FPtoEAD","Days_EADto485AD","Days_RDto485AD","Year","Month"
"1084",2014-07-17,2014-07-31,2014-10-06,2014-12-02,"TSC","eb1a","NY",14,67,57,138,2014,0
"1085",2014-07-17,2014-08-13,2014-10-17,2015-01-23,"TSC","eb1a","FL",27,65,98,190,2014,0
"1086",2014-07-15,2014-08-19,2014-10-17,2014-11-22,"TSC","eb1a","MA",35,59,36,130,2014,0
"1087",2014-07-15,2014-08-01,NA,2014-11-14,"TSC","eb1a",NA,17,NA,NA,122,2014,0
"1088",2014-07-02,2014-07-17,2014-09-22,2015-02-25,"TSC","eb1a","NY",15,67,156,238,2014,0
"1089",2014-06-30,2014-08-14,2014-10-01,2015-01-06,"TSC","eb1a",NA,45,48,97,190,2014,0
"1090",2014-06-25,2014-07-10,NA,2014-09-05,"TSC","eb1a","MD",15,NA,NA,72,2014,0
"1091",2014-06-23,2014-07-07,NA,2014-08-14,"TSC","eb1a","NY",14,NA,NA,52,2014,0
"1092",2014-06-16,2014-07-19,NA,2014-09-04,"TSC","eb1b","NC",33,NA,NA,80,2014,0
"1093",2014-06-12,2014-07-08,2014-09-05,2015-01-23,"TSC","eb1a","NY",26,59,140,225,2014,0
"1094",2014-06-09,2014-07-09,NA,2015-01-07,"TSC","eb1b","NJ",30,NA,NA,212,2014,0
"1095",2014-05-30,2014-06-27,NA,2014-07-12,"TSC","eb1b","NC",28,NA,NA,43,2014,0
"1096",2014-05-22,2014-06-12,2014-08-09,2015-03-11,"TSC","eb1b","NY",21,58,214,293,2014,0
"1097",2014-05-22,2014-06-25,2014-08-09,2014-08-22,"TSC","eb1a",NA,34,45,13,92,2014,0
"1098",2014-05-20,2014-06-17,2014-08-14,2014-08-19,"TSC","eb1a","FL",28,58,5,91,2014,0
"1099",2014-05-16,2014-06-18,2014-08-31,2015-02-12,"TSC","eb1a",NA,33,74,165,272,2014,0
"1100",2014-05-14,2014-05-30,2014-08-22,2015-02-10,"TSC","eb1a","NY",16,84,172,272,2014,0
"1102",2014-05-12,2014-05-30,2014-07-23,2015-05-07,"TSC","eb1a","NY",18,54,288,360,2014,0
"1103",2014-05-05,2014-06-04,2014-08-01,2014-08-21,"TSC","eb1b","MA",30,58,20,108,2014,0
"1104",2014-04-18,2014-05-27,2014-05-28,2014-06-26,"TSC","eb1b","MA",39,1,29,69,2014,0
"1105",2014-04-18,2014-05-23,2014-07-07,2014-11-24,"TSC","eb1b","NY",35,45,140,220,2014,0
"1108",2014-04-08,2014-05-15,NA,2014-06-18,"TSC","eb1b",NA,37,NA,NA,71,2014,0
"1111",2014-04-02,2014-04-15,NA,2014-05-31,"TSC","eb1a","VA",13,NA,NA,59,2014,0
"1112",2014-03-31,2014-04-17,NA,2014-05-30,"TSC","eb1a","NY",17,NA,NA,60,2014,0
"1114",2014-03-25,2014-05-05,2014-06-18,2014-09-08,"TSC","eb1b",NA,41,44,82,167,2014,0
"1115",2014-03-25,2014-04-15,2014-06-20,2014-08-25,"TSC","eb1b","MD",21,66,66,153,2014,0
"1116",2014-03-25,2014-04-28,NA,2014-05-16,"TSC","eb1a","RI",34,NA,NA,52,2014,0
"1118",2014-03-19,2014-04-17,NA,2014-05-13,"TSC","eb1a","PA",29,NA,NA,55,2014,0
"1122",2014-03-07,2014-04-03,NA,2014-04-28,"TSC","eb1a","TX",27,NA,NA,52,2014,0
"1123",2014-03-06,2014-03-18,NA,2014-06-14,"TSC","eb1a","GA",12,NA,NA,100,2014,0
"1125",2014-02-25,2014-03-04,2014-04-16,2014-04-18,"TSC","eb1a","TX",7,43,2,52,2014,0
"1126",2014-02-25,2014-03-26,2014-04-24,2014-04-30,"TSC","eb1a","PA",29,29,6,64,2014,0
"1127",2014-02-21,2014-03-27,2014-05-07,2014-07-08,"TSC","eb1a",NA,34,41,62,137,2014,0
"1128",2014-02-20,2014-03-11,2014-04-28,2014-09-11,"TSC","eb1a","TN",19,48,136,203,2014,0
"1129",2014-02-14,2014-03-06,2014-04-09,2014-04-18,"TSC","eb1b","AL",20,34,9,63,2014,0
"1131",2014-02-11,2014-02-25,2014-03-07,2014-03-31,"TSC","eb1a","MD",14,10,24,48,2014,0
"1132",2014-02-10,2014-03-13,2014-04-07,2014-04-14,"TSC","eb1b","NJ",31,25,7,63,2014,0
"1133",2014-02-10,2014-02-25,2014-03-07,2014-04-28,"TSC","eb1a","NY",15,10,52,77,2014,0
"1134",2014-02-06,2014-03-03,2014-04-08,2014-04-29,"TSC",NA,"GA",25,36,21,82,2014,0
"1135",2014-02-03,2014-02-24,NA,2014-03-31,"TSC","eb1a","MA",21,NA,NA,56,2014,0
"1136",2014-01-31,2014-02-25,NA,2014-06-04,"TSC","eb1a","NY",25,NA,NA,124,2014,0
"1137",2014-01-27,2014-02-21,2014-03-14,2014-04-18,"TSC","eb1a","TX",25,21,35,81,2014,0
"1138",2014-01-08,2014-02-03,2014-02-14,2014-03-24,"TSC","eb1a",NA,26,11,38,75,2014,0
"1139",2014-01-07,2014-01-28,2014-02-04,2014-03-31,"TSC","eb1a","PA",21,7,55,83,2014,0
"1140",2014-01-02,2014-01-27,2014-02-10,2014-03-10,"TSC","eb1a","MA",25,14,28,67,2014,0
"1141",2013-12-31,NA,2014-02-25,2014-04-15,"TSC","eb1b",NA,NA,NA,49,105,2013,0
"1142",2013-12-30,2014-01-30,NA,2014-03-06,"TSC","eb1a","NC",31,NA,NA,66,2013,0
"1143",2013-12-17,2014-01-09,2014-01-17,2014-03-18,"TSC","eb1a","NY",23,8,60,91,2013,0
"1144",2013-12-17,2013-12-31,NA,2014-03-07,"TSC","eb1a","WV",14,NA,NA,80,2013,0
"1146",2013-12-05,2013-12-30,2014-01-23,2014-05-16,"TSC","eb1a",NA,25,24,113,162,2013,0
"1148",2013-11-27,2013-12-30,NA,2014-03-20,"TSC","eb1a","FL",33,NA,NA,113,2013,0
"1150",2013-11-25,2013-12-27,2014-01-04,2014-02-27,"TSC","eb1b","NC",32,8,54,94,2013,0
"1151",2013-11-21,2013-12-12,2014-01-18,2014-02-27,"TSC","eb1a","MD",21,37,40,98,2013,0
"1152",2013-11-20,2013-12-17,2014-01-06,2014-02-26,"TSC","eb1b",NA,27,20,51,98,2013,0
"1153",2013-11-15,2013-12-13,2014-01-03,2014-03-21,"TSC","eb1b",NA,28,21,77,126,2013,0
"1155",2013-11-12,2013-11-27,2014-01-23,2014-08-30,"TSC","eb1b","NY",15,57,219,291,2013,0
"1156",2013-11-08,2013-11-27,2013-12-17,2014-02-27,"TSC","eb1a","NY",19,20,72,111,2013,0
"1157",2013-11-07,2013-12-12,2013-12-23,2014-03-07,"TSC","eb1b",NA,35,11,74,120,2013,0
"1158",2013-11-06,2013-11-25,2013-12-23,2014-03-04,"TSC","eb1b","GA",19,28,71,118,2013,0
"1159",2013-11-05,2013-11-24,2013-12-22,2014-03-03,"TSC","eb1a","GA",19,28,71,118,2013,0
