,140 PP? 140/485 CC?,Center,Type,485 RD,FP Notice Date ,Days from RD to FP Notice Date,Scheduled FP Date,FP Date,Walk in?,,"AP / EAD 
Approved 
Date","Days from
RD to AP/EAD AD",485 AD,"Days from
 FP Date to
485 AD",New Card Is Being Produced,Days from RD,Please Don't Filter Data!!!,,
renn,"PP, nonCC",NSC,EB1A,6/6/2013,7/5/2013,29,7/22/2013,7/22/2013,No,,8/2/2013,57,2013-08-19,28,73,,,,
fishmen12,"PP,nonCC",NSC,EB1A,6/6/2013,7/5/2013,29,7/18/2013,7/18/2013,No,,7/17/2013,41,2013-09-09,52,93,,"RFE J1 waiver on 8/16, response 8/26",,
luckyfishy,nonPP,NSC,EB1A,6/3/2013,6/24/2013,21,7/10/2013,7/5/2013,    W,"San Diego, CA",7/8/2013,35,2013-08-14,39,71,,,,
geweiyang ,"PP, nonCC",NSC,EB1A,6/3/2013,6/24/2013,21,7/11/2013,6/26/2013,W,"San Francisco, CA",7/9/2013,36,2013-07-23,27,50,,,,
gungunqiang,"PP, CC",NSC,EB1B,5/30/2013,,#REF!,7/3/2013,6/20/2013,W,"Aurora, CO",,,2013-07-19,29,49,,,,
lr,"PP, nonCC",NSC,EB1B,5/24/2013,6/14/2013,20,7/10/2013,6/21/2013,W,"Santa Clara, CA",,,2013-08-09,49,77,,,,
hh,,NSC,EB1B,5/23/2013,6/14/2013,21,7/5/2013,6/24/2013,W,,7/8/2013,,,,,,,,
mayering,"PP, nonCC",NSC,EB1B,5/21/2013,6/17/2013,26,7/1/2013,6/19/2013,W,,7/1/2013,41,2013-07-16,27,55,,,,
alpt,"PP, nonCC",NSC,EB1B,5/20/2013,6/15/2013,25,7/3/2013,7/3/2013,No,"Oakland, CA",7/16/2013,57,2013-08-29,57,101,,8/2 RFE; 8/16 RFE response review,,
sophiashi ,"PP, nonCC",NSC,EB1B,5/20/2013,6/15/2013,25,7/3/2013,6/17/2013,W,"Santa Clara, CA",7/16/2013,57,2013-07-18,31,58,,,,
sugarcane,"PP, nonCC",NSC,EB1B,5/20/2013,6/24/2013,34,7/3/2013,7/3/2013,No,,6/28/2013,39,2013-08-20,48,89,,,,
tigerbalm,,,EB2B,5/20/2013,6/13/2013,23,6/26/2013,6/26/2013,,,,,Blessing,,,926,RFE on 7/12/2013,,
alisia,"PP, nonCC",NSC,EB1B,5/18/2013,6/18/2013,30,7/3/2013,6/25/2013,W,,7/11/2013,54,2013-08-21,57,95,,"7/25 RFE, 8/2 response review",,
hlhren ,"PP, nonCC",NSC,EB1A,5/17/2013,6/6/2013,19,6/27/2013,6/27/2013,No,,6/24/2013,38,2013-07-23,26,66,,,,
baboon2,"PP, nonCC",NSC,EB1B,5/17/2013,6/12/2013,25,7/3/2013,7/3/2013,No,"Portland, OR",,,2013-07-23,20,66,,,,
dxhcom,,NSC,EB1A,5/15/2013,,,,6/27/2013,,,,,2013-08-19,53,97,,,,
,"PP, nonCC",NSC,EB1A,5/14/2013,6/5/2013,21,7/1/2013,6/11/2013,W,"Seattle, WA",6/17/2013,34,2013-07-25,44,71,,,,
gcaPPly,"PP, nonCC",NSC,,5/13/2013,6/5/2013,22,6/26/2013,6/10/2013,W,"Dallas, TX",6/8/2013,26,2013-07-15,35,62,,,,
,"PP, non CC",NSC,EB1A,5/10/2013,,,,6/5/2013,W,,,,2013-07-19,44,69,,,,
ticeberg411,"PP, nonCC",NSC,EB1B,5/10/2013,6/4/2013,24,7/1/2013,6/11/2013,W,"Santa Clara, CA",6/13/2013,34,2013-07-12,31,62,,,,
daiyatou ,"PP, nonCC",NSC,EB1B,5/10/2013,7/10/2013,60,7/31/2013,7/31/2013,No,,,,2013-10-10,70,150,,,,
unl,"PP, non CC",NSC,EB1A,5/9/2013,6/4/2013,25,6/25/2013,6/13/2013,W,,6/19/2013,41,2013-08-13,61,94,,,,
zealot,"PP, non CC",NSC,EB1A,5/8/2013,5/30/2013,22,6/20/2013,6/20/2013,No,"Oakland, CA",6/11/2013,34,2013-08-08,48,90,,,,
papril,"PP, non CC",NSC,EB1B,5/7/2013,6/8/2013,31,6/13/2013,6/13/2013,No,,6/10/2013,34,2013-07-16,33,69,,,,
Baobaojial.,"PP, non CC",NSC,EB1A,5/6/2013,6/26/2013,50,7/17/2013,7/17/2013,No,"Naperville, IL",7/8/2013,63,2013-08-13,26,97,,"RFE for my daughter's birth certificate on 8/15, Response review on 9/9",,
pinkcatz,"nonPP, nonCC",NSC,EB1B,5/6/2013,,,,6/20/2013,,,,,2013-09-03,73,117,,,,
perseus,"non-PP, CC",NSC,EB1B,5/6/2013,5/30/2013,24,6/20/2013,6/20/2013,No,,6/13/2013,38,2013-08-28,68,112,,,,
barge,"PP, non CC",NSC,EB1B,5/6/2013,5/30/2013,24,6/20/2013,6/4/2013,W,,6/5/2013,30,2013-06-28,24,52,,,,
Ethel,"PP, non CC",NSC,EB1A,5/3/2013,5/27/2013,24,6/13/2013,5/31/2013,W,El monte,6/7/2013,35,2013-06-28,28,55,,,,
caohuhu ,"PP, non CC",NSC,EB1B,5/3/2013,5/22/2013,19,6/6/2013,6/4/2013,W,"San Diego, CA",5/30/2013,27,2013-07-15,41,72,,,,
js,"PP, non CC",NSC,EB1B,4/30/2013,5/30/2013,30,6/20/2013,6/20/2013,No,"Indianapolis, IN",6/3/2013,34,2013-07-22,32,82,,,,
luner,"PP, non CC",NSC,EB1A,4/29/2013,5/25/2013,26,6/11/2013,5/29/2013,W,"Santa Ana, CA",6/5/2013,37,2013-06-10,11,41,,,,
Castaway ,,NSC,EB1B,4/29/2013,5/15/2013,16,6/5/2013,6/5/2013,No,,6/1/2013,33,2013-07-01,26,62,,,,
qin2011,,NSC,,4/29/2013,,,6/13/2013,6/13/2013,No,,,,2013-08-16,63,107,,,,
yfool,"PP, non CC",NSC,EB1A,4/26/2013,5/17/2013,21,6/7/2013,5/28/2013,W,,,,2013-06-17,19,51,,,,
stubofor,"PP, non CC",NSC,EB1B,4/26/2013,5/24/2013,28,6/10/2013,6/4/2013,W,"San Diego, CA",5/28/2013,32,2013-10-09,125,163,,"REF for J-1 information, 7/11 in review",,
nter,non PP,NSC,EB1A,4/25/2013,5/25/2013,30,6/6/2013,5/29/2013,W,"Seattle, WA",5/29/2013,34,2013-07-23,54,88,,,,
alalei324,"PP, non CC",NSC,EB1B,4/25/2013,5/24/2013,29,6/17/2013,5/28/2013,W,"Santa Clara, CA",6/6/2013,42,2013-06-10,12,45,,,,
pore,,NSC,,4/24/2013,,,6/4/2013,5/16/2013,W,,5/16/2013,22,2013-06-06,20,42,,,,
syh00,PP,nsc,EB1B,4/23/2013,,,5/20/2013,5/20/2013,W,HONOLULU,6/17/2013,55,2013-07-31,71,98,,EAD rfe for photo ID,,
keephiking,"PP, non CC",NSC,EB1A,4/22/2013,5/9/2013,17,6/6/2013,5/22/2013,W,"Indianapolis, IN",5/17/2013,25,2013-06-25,33,63,,,,
Freder,"PP, non CC",NSC,EB1A,4/22/2013,5/8/2013,16,6/3/2013,6/3/2013,No,"Santa Clara, CA",N/A,,2013-07-01,28,69,,,,
honeysweet,"PP, non CC",NSC,EB1A,4/22/2013,5/6/2013,14,5/28/2013,5/28/2013,No,,5/21/2013,29,2013-10-22,144,180,,interviewed 09/23,,
radiationmu,"PP, non CC",NSC,EB1B,4/22/2013,5/18/2013,26,6/6/2013,5/22/2013,W,"St Louis, MO",,,2013-07-02,40,70,,,,
studentpower,"PP, non CC",NSC,EB1B,4/20/2013,5/3/2013,13,5/29/2013,5/29/2013,No,,5/20/2013,30,2013-06-28,29,68,,,,
angelling,"PP, non CC",NSC,EB1B,4/19/2013,5/16/2013,27,6/13/2013,6/10/2013,W,"Seattle, WA",N/A,,2013-10-04,114,165,,Case transfered to NBC on 8/8/2013. Interview 10/1/2013.,,
txauo,"PP, non CC",NSC,EB1A,4/18/2013,5/16/2013,28,6/6/2013,6/6/2013,No,,5/17/2013,29,2013-07-09,33,81,,,,
lanxiang,"PP, non CC",NSC,EB1A,4/16/2013,5/9/2013,23,6/6/2013,6/6/2013,No,,5/20/2013,34,2013-07-19,43,93,,,,
lkhvghui,"PP, non CC",NSC,EB1B,4/16/2013,5/9/2013,23,6/6/2013,6/6/2013,No,,5/16/2013,30,2013-07-10,34,84,,,,
giantroger,"PP, non CC",NSC,EB1A,4/15/2013,5/8/2013,23,5/29/2013,5/14/2013,W,"Phoenix, AZ",5/16/2013,31,2013-06-07,23,52,,,,
ss0811,"PP, non CC",NSC,EB1A,4/12/2013,5/4/2013,22,5/22/2013,5/22/2013,No,,5/16/2013,34,2013-07-12,50,90,,,,
riverside,"PP, non CC",NSC,EB1B,4/12/2013,5/6/2013,24,5/30/2013,5/10/2013,W,,5/13/2013,31,2013-06-05,25,53,,,,
hg,"PP, non CC",NSC,EB1A,4/11/2013,5/2/2013,21,5/20/2013,5/7/2013,W,,6/4/2013,54,2013-06-10,33,59,,,,
guo,,NSC,EB1A,4/11/2013,5/5/2013,24,5/22/2013,5/22/2013,No,,5/15/2013,34,2013-07-12,50,91,,,,
z,"PP, non CC",NSC,EB1A,4/10/2013,5/2/2013,22,5/21/2013,5/21/2013,No,,,,2013-07-30,69,110,,,,
xiaoyu,"PP, non CC",NSC,EB1A,4/10/2013,5/1/2013,21,5/21/2013,5/21/2013,No,,6/5/2013,56,2013-06-24,33,74,,,,
azire ,,NSC,,4/9/2013,,,,5/22/2013,,,6/19/2013,71,2013-06-20,28,71,,,,
bos05 ,,NSC,,4/8/2013,5/4/2013,26,5/22/2013,5/22/2013,No,,,,2013-07-22,60,104,,,,
LumangRen，,"PP, non CC",NSC,EB1A,4/4/2013,4/29/2013,25,5/15/2013,4/30/2013,W,"Michigan City, IN",5/15/2013,41,2013-05-28,28,54,,,,
Dandelions,"PP, non CC",NSC,EB1A,4/3/2013,4/25/2013,22,5/15/2013,5/1/2013,W,"Detroit, MI",5/14/2013,41,2013-06-12,41,69,,,,
Xingyun01,"PP, non CC",NSC,EB1A,4/2/2013,4/18/2013,16,5/7/2013,4/22/2013,W,,,,2013-05-16,24,44,,,,
canabala,,NSC,,4/2/2013,4/30/2013,28,5/16/2013,5/16/2013,No,,,,2013-06-07,21,65,,,,
M101 小马哥,"nonPP, CC",NSC,NIW ROW,4/1/2013,4/22/2013,21,5/8/2013,4/23/2013,W,"St Louis, MO",5/1/2013,30,2013-05-06,13,35,,,,
zhangchen,,NSC,,3/29/2013,,,,,,,,,2013-05-29,,60,,,,
luckann,"nonPP, nonCC",NSC,EB1B,3/22/2013,,,5/9/2013,5/9/2013,No,"SD, CA",5/7/2013,46,2013-12-20,221,268,,,,
hjhjgxgx,"PP, non CC",NSC,EB1B,3/22/2013,,,,5/7/2013,W,"St. Louis, MO",,,Blessing,, ,984,,,
xlxlxl,"PP, non CC",NSC,EB1B,3/22/2013,4/18/2013,26,5/2/2013,5/2/2013,No,,5/9/2013,48,2013-06-28,56,96,,485 RFE marriage certificate at 6/07/2013,,
cjwl,"PP, non CC",NSC,EB1B,3/21/2013,4/18/2013,27,5/9/2013,5/9/2013,No,,4/30/2013,40,2013-06-03,24,72,,,,
GC2013,,NSC,,3/21/2013,4/9/2013,18,5/3/2013,5/3/2013,,,5/3/2013,43,2013-06-04,31,73,,,,
JeanDan,,NSC,,3/19/2013,,,,4/23/2013,,,5/19/2013,61,Blessing,,,987,"5/29号 485被RFE，要求婚姻真实性和清楚护照复印件, 7月9号 NSC收到答复.",,
Zhuana,"PP, non CC",NSC,EB1A,3/18/2013,4/18/2013,30,5/6/2013,4/23/2013,W,,4/25/2013,38,2013-05-24,31,66,,,,
hscoral,"PP, non CC",NSC,EB1A,3/15/2013,4/17/2013,32,5/15/2013,5/15/2013,,,5/15/2013,61,2013-07-02,47,107,,,,
pmm05,"PP, non CC",NSC,EB1B,3/12/2013,4/12/2013,30,5/8/2013,5/8/2013,No,,5/17/2013,66,2013-05-29,21,77,,,,
gc7688,"PP, non CC",NSC,EB1B,3/12/2013,4/8/2013,26,4/30/2013,4/15/2013,W,,,,2013-04-29,14,47,,,,
Agnese,"PP, CC",NSC,EB1B,3/12/2013,3/15/2013,3,4/4/2013,4/4/2013,No,,5/2/2013,51,2013-05-16,42,64,,,,
Annco,"PP, non CC",NSC,EB1A,3/8/2013,4/3/2013,25,4/30/2013,4/17/2013,W,"Detroit, MI",4/17/2013,40,2013-05-08,21,60,,,,
MonkeyPapa,"add PP, CC",NSC,EB1B,3/7/2013,4/8/2013,31,4/24/2013,4/24/2013,No,,4/22/2013,46,2013-07-24,90,137,,485 interview,,
xinsi,"PP, non CC",NSC,EB1A,3/6/2013,4/1/2013,25,4/19/2013,4/10/2013,W,,4/12/2013,37,2013-07-10,90,124,,"485 RFE 6/5/2013, RFE response 7/2/2013",,
lilyli2007,"PP, non CC",NSC,EB1B,3/6/2013,3/27/2013,21,4/20/2013,4/5/2013,W,,4/9/2013,34,2013-04-19,14,43,,,,
uschealth,"non-PP, nonCC",NSC,EB1A,3/4/2013,3/26/2013,22,4/16/2013,4/16/2013,,,4/10/2013,37,2013-05-03,17,59,,,,
ucare,"PP, non CC",NSC,EB1B,2/28/2013,3/30/2013,30,4/15/2013,4/15/2013,No,,4/9/2013,40,2013-04-26,11,56,,,,
IN1,"PP, CC",NSC,EB1B,2/28/2013,3/30/2013,30,4/16/2013,4/3/2013,    W,,,,2013-06-26,83,116,,RFE 4/22/13,,
nkaspirin ,,NSC,,2/28/2013,,,4/15/2013,4/30/2013,,,3/30/2013,30,2013-06-19,49,109,,REF 5/30/2013,,
samshang,"PP,non CC",NSC,EB1A,2/27/2013,,,,3/25/2013,W,,,,2013-04-18,23,51,,,,
craig2006,"PP, non CC",NSC,EB1A,2/27/2013,3/26/2013,29,4/19/2013,4/3/2013,W,,,,2013-05-16,43,79,,,,
chenlizi,non PP,NSC,EB1B,2/25/2013,,,,3/11/2013,,"Okland,CA",4/15/2013,49,2013-10-01,200,216,,,,
loriy2000,"PP, non CC",NSC,EB1A,2/22/2013,3/20/2013,28,4/12/2013,4/12/2013,,,4/3/2013,40,2013-04-23,11,61,,,,
cocola,"PP, nonCC",NSC,EB1A,2/21/2013,3/20/2013,29,4/16/2013,4/16/2013,,,,,2013-05-17,31,86,,,,
double2007,"PP, non CC",NSC,EB1A,2/19/2013,3/16/2013,27,4/5/2013,4/5/2013,,,3/25/2013,34,2014-03-31,356,402,,真不容易呀！,,
usafli2010,non CC,NSC,EB1A,2/15/2013,,,,3/21/2013,,,,,2013-04-05,14,50,,,,
cougepouh,"PP, non CC",NSC,EB1B,2/15/2013,3/11/2013,26,4/1/2013,3/15/2013,W,,3/26/2013,39,2013-04-10,25,55,,,,
dyesky1,"PP, non CC",NSC,EB1A,2/8/2013,3/6/2013,28,3/22/2013,3/22/2013,,,3/2/2013,22,2013-05-31,69,113,,RFE 4/5/13. RFE Response Review 5/1/13,,
SigmaPlot,"PP, non CC",NSC,EB1B,2/7/2013,3/6/2013,29,3/28/2013,3/12/2013,W,"York, PA",3/2/2013,23,2013-05-07,55,90,,RFE marriage 4/4/13. RFE Response Review 4/29/13,,
LJQS,PP. non CC,NSC,EB1A,2/5/2013,2/27/2013,22,3/20/2013,3/7/2013,W,,3/7/2013,30,2013-03-18,11,43,,,,
ssxjy,nonPP. non CC,NSC,EB1B,1/28/2013,2/20/2013,22,3/14/2013,2/22/2013,W,,2/25/2013,28,2013-04-01,39,63,,,,
FShKZI,"PP, non CC",NSC,EB1B,1/28/2013,2/25/2013,27,3/14/2013,2/28/2013,W,,,,2013-03-26,26,58,,,,
blueblithe ,PP CC,NSC,EB1B,1/28/2013,2/6/2013,8,3/6/2013,2/13/2013,W,,2/18/2013,21,2013-02-25,12,27,,,,
Seadart,nonPP. non CC,NSC,EB1C,1/28/2013,3/13/2013,45,,3/13/2013,,,2/21/2013,24,2013-03-28,15,60,,,,
yCCyCC,PP. non CC,NSC,EB1A,1/25/2013,2/15/2013,20,,2/20/2013,W,,2/25/2013,31,2013-03-25,35,60,,,,
sosoyoyo,PP. non CC,NSC,EB1A,1/24/2013,2/21/2013,27,3/7/2013,2/22/2013,W,,2/21/2013,28,2013-04-04,42,70,,RFE 3/22/13,,
m,nonPP. non CC,NSC,EB1B,1/24/2013,,,,2/22/2013,W,,2/14/2013,21,2013-03-15,23,51,,,,
*K*,"PP, non CC",NSC,EB1B,1/24/2013,2/12/2013,18,,3/11/2013,,,,,2013-03-22,11,58,,,,
yzn,"PP, non CC",NSC,EB1A,1/22/2013,2/13/2013,21,3/7/2013,3/7/2013,,,3/8/2013,45,2013-04-12,35,80,,,,
s*g*,"PP, non CC",NSC,EB1B,1/22/2013,2/12/2013,20,3/12/2013,3/8/2013,W,,3/14/2013,51,2013-03-26,18,64,,,,
xxx,PP. non CC,NSC,EB1B,1/18/2013,2/11/2013,23,3/6/2013,2/15/2013,W,,2/19/2013,32,2013-04-11,56,83,,"RFE 3/8/13, delivered 3/19/13",,
pseudop,,NSC,EB1A,1/17/2013,2/6/2013,19,3/6/2013,3/1/2013,W,,2/11/2013,25,2013-03-19,18,62,,,,
BuB,"PP, non CC",NSC,EB1A,1/17/2013,2/6/2013,19,3/6/2013,2/14/2013,W,,2/11/2013,25,2013-03-19,35,62,,,,
mylover315,"PP, non CC",NSC,EB1A,1/16/2013,2/6/2012,,3/5/2013,2/12/2013,W,,2/12/2013,27,2013-03-25,43,69,,,,
eeyy,"PP, non CC",NSC,EB1B,1/15/2013,2/4/2013,,2/27/2013,2/13/2013,W,,N/A,,2013-03-08,25,53,,,,
supermrtamu,"PP, non CC",NSC,EB1A,1/7/2013,1/31/2013,,2/21/2013,2/7/2013,W,,2/12/2013,36,2013-03-19,42,72,,,,
doudou1111,PP,NSC,EB1B,1/7/2013,2/1/2013,,,2/5/2013,W,,2/14/2013,38,2013-02-28,23,51,,,,
xiaopeng,,NSC,,1/7/2013,,,,2/14/2013,,,2/15/1013,,2013-03-21,37,74,,,,
antigua,,NSC,,1/3/2013,1/26/2013,,2/14/2013,2/14/2013,,,,,2013-03-08,24,65,,,,
raki,"PP, non CC",NSC,EB1B,1/2/2013,,,,,,,,,2013-03-14,,72,,,,
greensoon,"PP, non CC",NSC,EB1A,12/26/2012,N/A,,2/12/2013,2/4/2013,W,,2/1/2013,37,2013-02-22,18,56,,,,
karbo,n/a,NSC,EB1A,12/19/2012,1/6/2014,,2/11/2013,1/24/2013,W,,2/13/2013,56,2013-04-29,95,130,,"PP after 4 month waiting, 140 approved 4/3/13; 485 RFE 4/16/13, approved 4/29/13",,
LLZ,"PP, non CC",NSC,EB1B,12/19/2012,,,2/7/2013,2/1/2013,W,,31/1/2013,,2013-04-23,82,124,,RFE marriage @3/20; responded 4/17; approved 4/23,,
JJ,"PP, non CC",NSC,EB1B,12/19/2012,,,2/7/2013,2/7/2013,N,,2/1/2013,44,2013-03-19,42,90,,,,
Biosynthesis,"PP, non CC",NSC,EB1B,12/19/2012,,,2/6/2013,2/1/2013,W,,2/7/2013,50,2013-05-29,118,160,,,,
beachboy,"PP, non CC",NSC,,12/19/2012,1/24/2013,,2/4/2013,1/23/2013,W,,2/4/2013,47,2013-02-27,34,68,,,,
Luckyup,"PP, non CC",NSC,EB1A,12/18/2012,1/18/2013,,2/4/2013,1/22/2013,W,,N/A,,2013-02-27,35,69,"
",,,
statman,N/A,NSC,EB1B,12/18/2012,1/12/2013,,2/1/2013,2/1/2013,N,,1/31/2013,44,2013-03-07,36,79,,,,
zwwb,PP,NSC,EB1A,12/17/2012,1/23/2013,,2/6/2013,2/6/2013,,,2/11/2013,56,2013-02-19,13,62,,,,
"LOCQL
",PP,NSC,EB1A,12/17/2012,1/23/2013,,2/12/2013,1/24/2013,W,,2/1/2013,46,2013-04-16,82,119,,"RFE@3/14/2013, Respond 4/4",,
sunshine2009,N/A,NSC,EB1B,12/17/2012,N/A,,1/31/2013,1/31/2013,N,,1/24/2013,38,2013-02-27,27,70,,,,
bestpiero,PP,NSC,EB1A,12/14/2012,1/10/2013,,1/31/2013,1/31/2013,,,2/7/2013,55,2013-03-04,34,80,,RFE@ 2/19/2013,,
wiliam,PP,NSC,EB1B,12/14/2012,1/14/2013,,1/31/2013,1/15/2013,,,1/29/2013,46,2013-02-06,21,52,,,,
yeding,"PP,CC",NSC,EB1B,12/13/2012,1/16/2013,,2/7/2013,1/25/2013,W,,1/11/2013,29,Blessing,,,1083,,,
drsjyx,"PP, CC",NSC,EB1B,12/7/2012,12/10/2012,,1/4/2013,12/19/2012,W,,1/24/2013,48,2013-02-01,42,54,,,,
Yao009,"nonPP, nonCC",NSC,EB1B,12/3/2012,N/A,,1/16/2013,1/16/2013,,,1/22/2013,50,2013-02-19,33,76,,,,
recursive,"nonPP, nonCC",NSC,EB1B,12/3/2012,1/2/2013,,1/17/2013,1/17/2013,N,,1/21/2013,49,2013-03-15,58,102,,RFE on 02/20/2013,,
shirleyli,PP,NSC,EB1A,11/30/2012,12/25/2012,,N/A,12/26/2012,W,,1/26/2013,57,2013-03-26,90,116,,,,
"buaastar
","nonPP, nonCC",NSC,EB1B,11/30/2012,N/A,,1/16/2013,1/7/2013,W,,1/19/2013,50,2013-10-07,270,307,"
",,,
blackrain,PP,NSC,EB1B,11/30/2012,12/19/2012,,N/A,12/27/2012,W,,1/22/2013,53,2013-02-21,54,81,,"RFE 2/4/2013, respond 2/12/2013",,
wudilong,PP,NSC,EB1A,11/26/2012,12/18/2012,,1/7/2013,1/14/2013,W,,1/18/2013,53,2013-02-12,28,76,,,,
biobioNIH,non-PP,NSC,EB1A,11/26/2012,12/17/2012,,1/7/2013,1/7/2013,,,N/A,,2013-02-19,42,83,,RFE on Feb 6th. ,,
YoyoYao,"PP, RFE",NSC,EB1B,11/23/2012,12/17/2012,,1/11/2013,1/8/2013,W,,1/26/2013,64,2013-05-23,135,180,,"RFE (submission req by 5/2) on Feb 5th, and stayed in China in Feb; 3/19 respond RFE. Finally closed on the 180th day!!!!!  Believe nobody goes beyond 190 days including RFE.",,
foxking,PP,NSC,EB1A,11/21/2012,1/2/2013,,1/17/2013,1/17/2013,,,1/25/2013,65,2013-02-25,38,94,,,,
IrishRiver,"PP, CC",NSC,EB1A,11/19/2012,12/13/2012,,1/2/2013,1/2/2013,,,1/16/2013,58,2013-03-05,63,106,,,,
bsdz,PP,NSC,EB1A,11/19/2012,12/13/2012,,,12/19/2012,W,,Denied,,2013-01-11,22,52,,,,
majiaknight,N/A,NSC,N/A,11/16/2012,N/A,,1/9/2013,1/9/2013,W,,1/15/2013,60,2013-02-12,33,86,,,,
Smalldonkeys,PP,NSC,EB1A,11/15/2012,12/13/2012,,1/2/2013,12/26/2012,W,,1/14/2013,60,2013-02-11,45,86,,,,
wannadream,PP,NSC,EB1B,11/15/2012,N/A,,1/10/2013,1/10/2013,N,,1/14/2013,60,2013-02-06,26,81,,,,
vv,"PP, nonCC",NSC,N/A,11/12/2012,N/A,,N/A,12/19/2012,W,,1/9/2013,58,2013-02-21,62,99,,,,
mithereford,N/A,NSC,EB1A,11/9/2012,12/13/2012,,,12/18/2012,W,,Denied,,2013-01-03,15,54,,,,
keyide,PP,NSC,EB1B,11/9/2012,,,1/2/2013,1/2/2013,N,,1/18/2013,70,2013-02-06,34,87,,,,
sorrowbird,PP,NSC,EB1B,11/8/2012,N/A,,12/31/2012,12/23/2012,W,,1/10/2013,63,2013-01-24,31,76,,,,
seroxat,N/A,NSC,EB1A,11/7/2012,,,12/28/2012,12/28/2012,,,1/15/2013,69,2013-02-05,37,88,,,,
idjuven,non-PP  RFE,NSC,EB1A,11/7/2012,12/7/2012,,12/26/2012,12/26/2012,,,1/9/2013,63,2013-05-13,137,186,,"RFE I20 &marriage@ 2/12,transfer to USCIS-NBC@3/13; interview @ 5/9/13",,
Canny,"PP, nonCC",NSC,EB1B,11/7/2012,12/7/2012,,12/26/2012,12/10/2012,W,,1/9/2013,63,2013-01-25,45,78,,,,
ekne,N/A,NSC,EB1B,11/6/2012,N/A,,12/21/2012,12/21/2012,W,,Denied,,2013-01-07,16,61,,,,
bigmanxu,"PP, nonCC",NSC,EB1A,11/5/2012,12/12/2012,,1/8/2013,1/8/2013,,,1/22/2013,78,2013-01-28,20,83,,,,
bushjiang,N/A,NSC,EB1B,11/5/2012,N/A,,N/A,N/A,,,N/A,,2013-03-08,N/A,123,,,,
CHY122,N/A,NSC,,11/2/2012,N/A,,12/24/0201,12/4/2012,W,,1/1/2013,60,2013-01-24,50,82,,RFE VaCCine 1/8 ,,
baqiwailou,RFE,NSC,EB1A,11/1/2012,11/28/2012,,12/19/2012,12/11/2012,W,,12/18/2012,47,2013-05-03,142,182,,RFE@2/6,,
sisleya,RFE,NSC,EB1B,10/31/2012,11/28/2012,,12/26/2012,12/26/2012,N,,1/7/2013,68,2013-04-10,104,160,,RFE@ 2/6 Big bless ! Go Green!,,
bigwoniu,CC,NSC,EB1A,10/30/2012,N/A,,12/14/2012,12/14/2012,,,12/27/2012,58,2013-01-22,38,82,,,,
BGMG,N/A,NSC,EB1A,10/30/2012,N/A,,N/A,12/13/2012,,,12/28/2012,59,2012-12-31,18,60,,,,
lilytang,PP,NSC,EB1B,10/26/2012,,,12/11/2012,12/11/2012,N,,12/6/2012,41,2013-02-07,56,101,,,,
guilian,CC,NSC,N/A,10/26/2012,11/15/2012,,12/12/2012,12/14/2012,W,,12/10/2012,45,2013-01-15,31,79,,,,
luckyherb,N/A,NSC,N/A,10/24/2012,N/A,,N/A,N/A,,,,,2013-01-08,N/A,74,,,,
leoparderm,N/A,NSC,N/A,10/19/2012,N/A,,N/A,11/21/2012,W,,12/20/2012,62,2012-12-21,30,62,,,,
yoyoha,N/A,NSC,EB1A,10/18/2012,N/A,,12/6/2012,11/16/2012,W,,,,2012-12-11,25,53,,,,
weileni,N/A,NSC,EB1A,10/16/2012,11/13/2012,,N/A,11/14/2012,W,,12/14/2012,59,2013-01-15,61,89,,RFE 12/19/2012,,
maomaobenben,"nonPP, CC",NSC,EB1B,10/16/2012,N/A,,N/A,11/27/2012,,,11/6/2012,21,2013-01-04,37,78,,,,
ilovexiaoxia,N/A,NSC,,10/16/2012,N/A,,N/A,12/5/2012,,,12/14/2012,59,2013-01-04,29,78,,,,
coolchan,nonPP,NSC,EB1B,10/15/2012,N/A,,N/A,11/23/2012,,,11/15/2012,31,2012-12-27,34,72,,,,
PPduck,N/A,NSC,N/A,10/12/2012,N/A,,11/30/2012,11/20/2012,W,,N/A,,2013-01-11,51,89,,RFE 12/12/12 Birth Certificate,,
zarate,N/A,NSC,N/A,10/11/2012,N/A,,N/A,N/A,,,N/A,,2013-01-23,N/A,102,,,,
yunmu,N/A,NSC,N/A,10/9/2012,N/A,,12/3/2012,11/13/2012,W,,N/A,,2013-01-09,56,90,,RFE 12/20/2012,,
ttiimme,PP,NSC,EB1B,10/6/2012,11/2/2012,,11/28/2012,11/28/2012,W,,11/7/2012,32,2013-01-28,60,112,,,,
spaceshen,PP. nonCC,NSC,EB1B,10/5/2012,11/3/2012,,11/29/2012,11/29/2012,N,,12/10/2012,66,2013-03-04,95,149,,,,
sanmiumiu,N/A,NSC,N/A,10/4/2012,11/8/2012,,N/A,11/23/2012,,,11/1/2012,28,2012-12-22,29,78,,,,
UI603,N/A,NSC,N/A,10/2/2012,N/A,,N/A,N/A,,,12/12/2012,71,2013-01-23,N/A,111,,RFE 12/14/2012  Birth/Marriage Certificate ,,
kayabao,N/A,NSC,N/A,10/1/2012,10/23/2012,,N/A,11/8/2012,W,,10/23/2012,22,2013-01-08,60,97,,,,
littlewizard,N/A,NSC,N/A,9/26/2012,N/A,,N/A,N/A,,,N/A,,2012-12-26,N/A,90,,,,
